City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chokurdakh,70.63,147.92,-7.76,90,94,4.54,RU,1605858270
1,Punta Arenas,-53.15,-70.92,48.2,76,75,4.7,CL,1605858124
2,Port Alfred,-33.59,26.89,69.31,53,4,12.39,ZA,1605858271
3,Cherskiy,68.75,161.3,2.95,95,100,0.98,RU,1605858271
4,Thinadhoo,0.53,72.93,82.49,67,100,4.32,MV,1605858271
5,Dunedin,-45.87,170.5,57.99,73,100,5.99,NZ,1605858271
6,Dikson,73.51,80.55,16.2,96,100,25.84,RU,1605858272
7,Qaanaaq,77.48,-69.36,25.59,89,100,9.6,GL,1605858272
8,Luwuk,-0.95,122.79,85.62,66,83,2.91,ID,1605858272
9,Airai,-8.93,125.41,73.85,69,43,3.38,TL,1605858272
10,Rikitea,-23.12,-134.97,71.8,74,0,14.41,PF,1605858272
11,Torbay,47.67,-52.73,30.0,50,20,23.04,CA,1605858273
12,Gladstone,-23.85,151.25,80.6,61,0,18.34,AU,1605857988
13,Cape Town,-33.93,18.42,75.99,46,0,4.7,ZA,1605858121
14,New Norfolk,-42.78,147.06,60.01,44,44,1.99,AU,1605858273
15,Talnakh,69.49,88.4,12.2,85,75,24.61,RU,1605858273
16,Sambava,-14.27,50.17,80.42,58,1,7.94,MG,1605858274
17,Cidreira,-30.18,-50.21,63.36,71,64,2.89,BR,1605858274
18,Doha,25.29,51.53,82.4,51,0,6.93,QA,1605857994
19,Busselton,-33.65,115.33,70.0,70,62,15.03,AU,1605858274
20,Thayetmyo,19.32,95.18,84.22,52,100,6.89,MM,1605858275
21,Ushuaia,-54.8,-68.3,44.6,93,40,2.24,AR,1605858275
22,Avera,33.19,-82.53,51.8,66,90,5.46,US,1605858275
23,Sechura,-5.56,-80.82,65.26,80,96,12.55,PE,1605858275
24,Dzhebariki-Khaya,62.22,135.8,-7.76,90,100,2.68,RU,1605858276
25,Albany,42.6,-73.97,44.01,54,100,3.0,US,1605858276
26,Mataura,-46.19,168.86,57.99,91,100,3.0,NZ,1605858276
27,Atuona,-9.8,-139.03,77.99,75,45,7.45,PF,1605858276
28,Cairns,-16.92,145.77,84.2,54,40,17.22,AU,1605858277
29,Vaini,-21.2,-175.2,75.2,94,75,4.7,TO,1605858277
30,Gamba,-2.65,10.0,79.39,85,100,8.66,GA,1605858277
31,Dongying,37.46,118.49,45.57,55,72,6.93,CN,1605858277
32,Narsaq,60.92,-46.05,28.4,86,93,2.24,GL,1605858277
33,Khatanga,71.97,102.5,13.5,97,100,4.09,RU,1605858278
34,Burnie,-41.07,145.92,68.61,42,2,9.73,AU,1605858278
35,Hasaki,35.73,140.83,73.4,69,75,17.22,JP,1605858151
36,Kapaa,22.08,-159.32,77.0,78,40,14.99,US,1605858278
37,Chippewa Falls,44.94,-91.39,39.99,93,20,4.7,US,1605857514
38,Nikolskoye,59.7,30.79,35.6,80,40,11.18,RU,1605858278
39,Castro,-24.79,-50.01,52.21,96,64,6.11,BR,1605858279
40,Hobart,-42.88,147.33,60.01,47,75,21.92,AU,1605858008
41,Buala,-8.14,159.59,77.9,88,100,5.14,SB,1605858279
42,George Town,5.41,100.34,87.8,74,40,8.05,MY,1605858016
43,Plaster Rock,46.91,-67.39,30.2,58,90,6.93,CA,1605858279
44,Saskylakh,71.92,114.08,15.67,95,100,9.62,RU,1605858280
45,Jamestown,42.1,-79.24,55.4,32,40,13.87,US,1605858280
46,Jalu,29.03,21.55,64.83,67,4,10.22,LY,1605858280
47,Calama,-22.47,-68.93,39.2,10,0,17.22,CL,1605858280
48,Kiryat Gat,31.61,34.76,70.0,100,0,3.0,IL,1605858281
49,Butaritari,3.07,172.79,81.82,82,53,15.08,KI,1605858281
50,Avarua,-21.21,-159.78,77.0,88,1,2.24,CK,1605858281
51,Port Elizabeth,-33.92,25.57,69.8,56,20,10.29,ZA,1605858281
52,Ponta do Sol,32.67,-17.1,68.0,77,40,12.75,PT,1605858281
53,Coahuayana Viejo,18.73,-103.68,75.56,58,0,3.76,MX,1605858282
54,Khowst,33.38,69.88,53.08,37,0,3.42,AF,1605858282
55,Arrondissement d'Arcachon,44.59,-1.05,39.2,93,0,1.12,FR,1605858282
56,Zhizdra,53.75,34.74,31.62,95,100,15.79,RU,1605858282
57,Cabo San Lucas,22.89,-109.91,77.77,65,0,5.91,MX,1605857997
58,Yenagoa,4.92,6.26,78.3,88,84,1.03,NG,1605858282
59,Muros,42.78,-9.06,51.01,82,39,4.0,ES,1605858283
60,San Cristobal,7.77,-72.22,63.72,87,16,1.52,VE,1605858264
61,Dvinskoy,62.15,45.12,39.4,83,100,11.97,RU,1605858283
62,Padang,-0.95,100.35,82.45,76,100,6.44,ID,1605858283
63,Lebu,-37.62,-73.65,51.87,83,97,4.25,CL,1605858283
64,Pevek,69.7,170.31,18.73,97,100,5.91,RU,1605858284
65,Half Moon Bay,37.46,-122.43,51.01,87,1,3.36,US,1605858284
66,Shenjiamen,29.96,122.3,62.2,84,100,21.56,CN,1605858284
67,Changli,39.7,119.15,41.16,56,0,3.29,CN,1605858284
68,Ternate,0.8,127.4,84.63,71,100,5.68,ID,1605858284
69,Tasiilaq,65.61,-37.64,30.2,80,100,24.16,GL,1605858285
70,Kungurtug,50.6,97.52,3.83,84,86,1.16,RU,1605858285
71,Havre-St-Pierre,50.23,-63.6,24.8,79,90,4.7,CA,1605858285
72,Puerto Ayora,-0.74,-90.35,70.0,92,90,5.99,EC,1605858285
73,Nhulunbuy,-12.23,136.77,86.0,66,40,10.29,AU,1605858286
74,Nome,64.5,-165.41,28.4,86,90,21.92,US,1605858286
75,Kitui,-1.37,38.01,75.76,67,77,7.05,KE,1605858286
76,Nichinan,31.6,131.37,71.6,56,75,21.92,JP,1605858286
77,Wright,45.18,-93.95,37.4,86,61,6.93,US,1605858286
78,Tolaga Bay,-38.37,178.3,53.91,69,40,2.68,NZ,1605858287
79,Port Hedland,-20.32,118.57,87.8,58,73,14.99,AU,1605858287
80,Okha,53.57,142.95,23.95,91,46,16.58,RU,1605858287
81,Monchegorsk,67.94,32.87,27.0,97,100,5.88,RU,1605858287
82,Saint-Philippe,-21.36,55.77,78.8,54,20,8.05,RE,1605858288
83,Thompson,55.74,-97.86,1.4,91,20,8.05,CA,1605858288
84,Horodyshche,49.28,31.45,34.36,87,90,10.27,UA,1605858288
85,Haines Junction,60.75,-137.51,-22.0,74,72,1.12,CA,1605858288
86,Pangody,65.85,74.49,26.89,97,100,19.44,RU,1605858288
87,Guerrero Negro,27.98,-114.06,66.65,77,0,9.15,MX,1605858289
88,Lewistown,40.6,-77.57,39.99,100,1,3.51,US,1605858289
89,Portland,45.52,-122.68,44.01,93,0,2.64,US,1605857666
90,Ribeira Grande,38.52,-28.7,55.4,76,20,1.12,PT,1605858289
91,Hilo,19.73,-155.09,75.2,88,90,3.78,US,1605858290
92,Skjervøy,70.03,20.97,32.0,79,40,23.04,NO,1605858290
93,Tuktoyaktuk,69.45,-133.04,5.49,91,0,8.28,CA,1605858290
94,Suntar,62.14,117.63,0.73,91,98,6.73,RU,1605858290
95,Longyearbyen,78.22,15.64,14.0,56,20,9.17,SJ,1605858092
96,Chumikan,54.72,135.31,9.57,87,17,17.81,RU,1605858291
97,Abu Dhabi,24.47,54.37,80.6,57,0,6.93,AE,1605858291
98,Clyde River,70.47,-68.59,10.4,78,90,16.11,CA,1605858291
99,Kanye,-24.97,25.33,79.48,44,99,18.75,BW,1605858291
100,Yar-Sale,66.83,70.83,26.17,98,100,19.24,RU,1605858292
101,Hong Kong,22.29,114.16,84.99,66,20,10.29,HK,1605858246
102,Olafsvik,64.89,-23.71,37.99,87,100,17.78,IS,1605858292
103,Dubti,11.74,41.09,86.23,32,0,11.92,ET,1605858292
104,Ñuñoa,-14.48,-70.64,42.67,68,98,2.42,PE,1605858293
105,Hutchinson,38.06,-97.93,52.0,81,1,6.69,US,1605858293
106,Bredasdorp,-34.53,20.04,69.8,49,0,20.8,ZA,1605858293
107,Salalah,17.02,54.09,89.6,29,0,21.92,OM,1605858293
108,Aloleng,16.13,119.78,84.54,73,0,10.6,PH,1605858294
109,Barrow,71.29,-156.79,14.0,85,75,12.75,US,1605858004
110,East London,-33.02,27.91,71.6,46,20,6.93,ZA,1605858294
111,Kruisfontein,-34.0,24.73,71.01,58,0,5.99,ZA,1605858294
112,Saint George,37.1,-113.58,48.99,39,1,6.93,US,1605858294
113,Mar del Plata,-38.0,-57.56,53.96,89,2,7.61,AR,1605858295
114,Honiara,-9.43,159.95,82.4,83,75,2.24,SB,1605858295
115,Husavik,66.04,-17.34,30.2,100,90,4.7,IS,1605858295
116,Beyneu,45.32,55.2,31.62,77,0,12.5,KZ,1605858295
117,Ouadda,8.08,22.4,88.29,30,0,6.85,CF,1605858295
118,Kalakamati,-20.59,27.31,78.8,57,40,17.22,BW,1605858296
119,Tokur,53.13,132.9,5.04,89,0,1.72,RU,1605858296
120,Elliot,-31.33,27.85,61.75,54,32,5.28,ZA,1605858296
121,Swellendam,-34.02,20.44,69.8,49,0,20.8,ZA,1605858296
122,Kolvereid,64.87,11.6,35.6,69,40,12.75,NO,1605858134
123,Khandyga,62.67,135.6,-9.08,91,100,0.78,RU,1605858297
124,Souillac,-20.52,57.52,75.2,88,75,5.82,MU,1605858297
125,Bluff,-46.6,168.33,57.99,91,100,3.0,NZ,1605858297
126,Saldanha,-33.01,17.94,82.4,28,0,8.05,ZA,1605858297
127,Esperance,-33.87,121.9,68.0,72,90,19.46,AU,1605858298
128,Baghdad,33.34,44.4,68.0,45,40,13.87,IQ,1605858298
129,Belaya Gora,68.53,146.42,-2.06,90,100,2.95,RU,1605858298
130,Pangnirtung,66.15,-65.71,5.85,87,35,3.47,CA,1605858298
131,Riohacha,11.54,-72.91,76.84,89,0,11.72,CO,1605858299
132,Grindavik,63.84,-22.43,37.4,86,90,11.41,IS,1605858299
133,Ferme-Neuve,46.7,-75.45,39.2,90,100,4.7,CA,1605858299
134,Saint Paul Harbor,57.79,-152.41,33.8,86,1,5.82,US,1605858299
135,Kavieng,-2.57,150.8,82.69,78,100,11.92,PG,1605858299
136,Pochinok,54.41,32.44,31.98,99,100,15.77,RU,1605858300
137,Río Gallegos,-51.62,-69.22,48.2,76,0,2.24,AR,1605858083
138,Maniitsoq,65.42,-52.9,27.86,97,99,11.83,GL,1605858300
139,Bonavista,48.65,-53.11,28.99,63,19,6.93,CA,1605858301
140,Chui,-33.7,-53.46,58.98,87,51,6.82,UY,1605858301
141,Fare,-16.7,-151.02,80.58,73,9,9.28,PF,1605858301
142,Hithadhoo,-0.6,73.08,81.64,69,95,5.66,MV,1605858303
143,Houma,29.6,-90.72,62.01,100,1,3.36,US,1605858303
144,Arraial do Cabo,-22.97,-42.03,72.3,80,88,14.5,BR,1605858304
145,San Francisco,37.77,-122.42,52.0,81,1,4.7,US,1605857925
146,Yellowknife,62.46,-114.35,1.4,84,75,5.82,CA,1605858303
147,Atar,20.52,-13.05,71.51,27,0,11.61,MR,1605858304
148,Moranbah,-22.0,148.05,81.41,42,5,21.94,AU,1605858305
149,Ilulissat,69.22,-51.1,28.4,46,100,13.87,GL,1605858305
150,Vanimo,-2.67,141.3,82.54,76,100,3.71,PG,1605858305
151,Aswān,24.09,32.91,74.07,38,0,10.42,EG,1605858305
152,Takoradze,4.88,-1.76,80.65,77,65,2.8,GH,1605858306
153,City of San Pedro,14.35,121.02,91.0,70,40,8.05,PH,1605858306
154,Kutum,14.2,24.67,75.74,20,0,8.9,SD,1605858306
155,Druzhnaya Gorka,59.28,30.14,35.6,80,40,11.18,RU,1605858306
156,Vestmannaeyjar,63.44,-20.27,42.8,81,40,12.75,IS,1605858307
157,Gouré,13.98,10.27,75.99,26,26,10.0,NE,1605858307
158,Dakar,14.69,-17.44,78.8,61,0,6.93,SN,1605858137
159,Okato,-39.2,173.88,57.99,79,50,1.01,NZ,1605858307
160,Gijang,35.24,129.21,59.0,44,0,10.29,KR,1605858308
161,Port Jervis,41.38,-74.69,39.99,76,86,6.71,US,1605858308
162,Iquique,-20.22,-70.14,59.0,72,0,3.36,CL,1605858242
163,San Miguel de Tucumán,-26.82,-65.22,68.0,77,0,0.45,AR,1605858308
164,Vestmanna,62.16,-7.17,41.0,100,100,21.92,FO,1605858308
165,Cravo Norte,6.3,-70.2,74.35,88,0,7.61,CO,1605858309
166,Ketchikan,55.34,-131.65,33.8,100,90,4.7,US,1605858309
167,Mt. Pleasant,32.79,-79.86,60.8,87,90,10.94,US,1605858309
168,Novy Urengoy,66.08,76.63,22.75,98,100,18.57,RU,1605858310
169,Latung,5.5,120.88,84.49,69,93,6.04,PH,1605858310
170,Chintamani,13.4,78.07,80.6,42,20,10.29,IN,1605858310
171,Srednekolymsk,67.45,153.68,1.18,93,99,4.81,RU,1605858310
172,Labuan,5.28,115.24,87.8,70,20,4.7,MY,1605858012
173,Salekhard,66.53,66.6,28.44,98,100,19.95,RU,1605858311
174,Touros,-5.2,-35.46,77.0,88,40,5.82,BR,1605858311
175,Severo-Kuril'sk,50.68,156.12,32.49,91,97,8.93,RU,1605858311
176,Lüderitz,-26.65,15.16,68.36,58,0,7.58,NA,1605858311
177,Hermanus,-34.42,19.23,72.0,56,0,11.99,ZA,1605858312
178,Leningradskiy,69.38,178.42,23.13,97,98,6.96,RU,1605858312
179,Privolzhye,52.86,48.6,27.36,83,0,15.03,RU,1605858312
180,Manakara,-22.13,48.02,83.34,58,0,12.55,MG,1605858312
181,Yamada,39.47,141.95,61.7,84,100,7.49,JP,1605858055
182,Lerwick,60.15,-1.15,42.8,70,75,14.99,GB,1605858313
183,Hailar,49.2,119.7,18.45,96,100,11.97,CN,1605858313
184,Havøysund,71.0,24.66,33.8,69,75,42.5,NO,1605858313
185,Warwick,41.7,-71.42,50.0,57,1,12.75,US,1605858271
186,Ust'-Koksa,50.27,85.61,13.71,82,94,0.54,RU,1605858313
187,Tiksi,71.69,128.87,3.2,89,100,18.9,RU,1605858314
188,Zhigansk,66.77,123.37,-3.08,91,100,16.15,RU,1605858314
189,San Quintín,30.48,-115.95,63.66,79,4,9.91,MX,1605858314
190,Beringovskiy,63.05,179.32,28.78,95,100,7.23,RU,1605858314
191,Bonnyville,54.27,-110.73,12.2,78,90,4.47,CA,1605858315
192,Rome,43.21,-75.46,48.2,45,1,5.82,US,1605858152
193,Iberia,29.95,-91.75,60.8,100,75,5.82,US,1605858315
194,Tateyama,34.98,139.87,73.4,78,75,17.22,JP,1605858315
195,Praia da Vitória,38.73,-27.07,61.0,87,75,8.23,PT,1605858315
196,Santa Cruz de La Palma,28.68,-17.76,68.0,77,20,8.05,ES,1605858316
197,Loviisa,60.46,26.23,28.99,94,8,1.99,FI,1605858134
198,Tessalit,20.2,1.01,71.26,23,0,17.45,ML,1605858316
199,Sorong,-0.88,131.25,83.1,76,100,4.83,ID,1605858316
200,Boké,10.94,-14.3,75.63,89,2,1.48,GN,1605858316
201,Yasnyy,51.03,59.87,19.96,89,0,7.61,RU,1605858317
202,Grand-Santi,4.25,-54.38,72.1,97,100,1.79,GF,1605858317
203,Kavaratti,10.57,72.64,87.8,74,40,6.93,IN,1605858317
204,Iqaluit,63.75,-68.51,0.0,77,20,8.05,CA,1605858317
205,Baykit,61.67,96.37,16.34,93,100,5.64,RU,1605858318
206,Marawi,8.0,124.29,84.99,81,100,5.99,PH,1605858318
207,Lompoc,34.64,-120.46,59.0,76,1,4.7,US,1605858086
208,Mabaruma,8.2,-59.78,72.28,98,16,2.06,GY,1605858318
209,Arlit,18.74,7.39,70.54,23,25,6.71,NE,1605858319
210,Kaeo,-35.1,173.78,61.0,79,71,1.01,NZ,1605858319
211,Tovuz,40.99,45.63,37.4,93,90,4.7,AZ,1605858319
212,San Patricio,28.02,-97.52,66.0,93,1,8.05,US,1605858319
213,Saint Anthony,45.02,-93.22,41.0,83,90,13.87,US,1605858319
214,Linxia Chengguanzhen,35.6,103.21,39.52,69,100,9.04,CN,1605858319
215,Sungai Raya,0.7,108.9,81.97,82,98,6.04,ID,1605858320
216,Batemans Bay,-35.72,150.18,69.01,72,89,3.0,AU,1605858320
217,Obama,35.5,135.75,70.0,92,100,14.83,JP,1605858151
218,Chunskiy,56.08,99.63,17.55,93,100,10.51,RU,1605858321
219,Nālūt,30.33,10.85,58.14,74,0,4.38,LY,1605858321
220,Petropavlovsk-Kamchatskiy,53.05,158.65,26.6,63,100,4.47,RU,1605858321
221,Beaverton,45.49,-122.8,43.0,99,0,2.33,US,1605858153
222,Dhārchula,29.85,80.53,65.3,24,0,6.85,IN,1605858321
223,Tongling,30.95,117.78,59.09,68,92,11.97,CN,1605858322
224,Newport,51.59,-3.0,46.0,94,100,1.99,GB,1605858040
225,Broken Hill,-31.95,141.43,100.4,8,37,9.17,AU,1605858322
226,Birao,10.28,22.79,87.78,23,0,8.48,CF,1605858322
227,Dezhou,37.45,116.29,46.69,51,4,5.53,CN,1605858322
228,Carnarvon,-24.87,113.63,78.8,65,100,21.92,AU,1605858323
229,Harper,4.38,-7.72,80.76,80,17,6.35,LR,1605858323
230,Watertown,42.37,-71.18,46.99,52,1,10.29,US,1605858229
231,Līsakovsk,52.54,62.49,23.32,91,0,11.03,KZ,1605858208
232,Effingham County,32.37,-81.33,57.2,71,90,6.93,US,1605858324
233,Douentza,15.0,-2.95,77.76,18,18,5.28,ML,1605858324
234,Mahébourg,-20.41,57.7,75.2,88,75,5.82,MU,1605858324
235,Bandi̇̄pur,27.93,84.42,73.22,29,0,4.03,NP,1605858324
236,Kloulklubed,7.04,134.26,86.0,70,75,6.93,PW,1605858324
237,Zyryanka,65.75,150.85,5.59,94,100,11.68,RU,1605858325
238,Phalaborwa,-23.94,31.14,69.8,73,99,14.99,ZA,1605858096
239,Saint-Augustin,51.23,-58.65,21.07,87,0,6.38,CA,1605858325
240,Matara,5.95,80.54,83.28,74,30,6.26,LK,1605858325
241,Tomsk Oblast,58.5,82.5,22.28,94,100,12.39,RU,1605858326
242,Bridgewater,44.38,-64.52,48.0,93,100,14.99,CA,1605858326
243,Luangwa,-15.62,30.42,98.89,22,27,12.97,ZM,1605858326
244,Dingle,11.0,122.67,83.91,81,100,7.81,PH,1605858326
245,Shediac,46.22,-64.54,33.01,89,40,8.05,CA,1605858327
246,Bengkulu,-3.8,102.27,82.78,80,97,7.14,ID,1605858327
247,Kavkazskiy,44.27,42.23,37.4,86,90,11.18,RU,1605858327
248,Sita Buzăului,45.65,26.07,26.01,96,2,21.0,RO,1605858327
249,Dahuk,36.87,42.99,62.28,41,21,13.53,IQ,1605858328
250,Mandera,3.94,41.87,87.8,45,34,11.54,KE,1605858328
251,Coquimbo,-29.95,-71.34,55.4,87,82,3.36,CL,1605858328
252,Fort Nelson,58.81,-122.7,-7.6,83,20,5.82,CA,1605858328
253,Margate,51.38,1.39,41.0,100,0,4.7,GB,1605858328
254,Shaoyang,27.23,111.45,62.33,63,83,9.75,CN,1605858329
255,Itoman,26.12,127.67,77.0,83,75,12.75,JP,1605858329
256,Tyrma,50.08,132.17,16.11,88,97,1.12,RU,1605858329
257,Balyqshy,47.07,51.87,23.0,53,0,11.18,KZ,1605858329
258,Taihe,30.87,105.38,62.71,65,95,6.2,CN,1605858330
259,Ladário,-19.0,-57.6,66.42,65,50,2.98,BR,1605858123
260,Aksu,41.12,80.26,43.18,56,100,11.54,CN,1605858330
261,Marsh Harbour,26.54,-77.06,74.23,73,0,22.01,BS,1605858330
262,Okhotsk,59.38,143.3,2.23,88,100,22.39,RU,1605858331
263,Tanglad,11.29,125.58,84.15,72,100,6.35,PH,1605858331
264,Kyra,49.58,111.98,12.52,74,1,13.62,RU,1605858331
265,Oleksandrivka,46.84,32.76,32.0,76,90,13.42,UA,1605858331
266,Irtyshskiy,58.33,68.13,26.53,92,82,15.14,RU,1605858332
267,Biak,-0.91,122.88,83.95,70,75,2.35,ID,1605858332
268,Geseke,51.65,8.52,37.99,86,90,8.05,DE,1605858145
269,Gayéri,12.65,0.49,77.47,24,26,9.82,BF,1605858332
270,Namatanai,-3.67,152.43,78.75,85,100,4.41,PG,1605858332
271,Ilesha,7.14,5.26,82.04,62,69,1.32,NG,1605858333
272,Qasigiannguit,68.82,-51.19,28.4,46,100,13.87,GL,1605858333
273,Nentón,15.8,-91.75,59.0,93,90,1.88,GT,1605858333
274,Blackburn,53.75,-2.48,42.01,91,100,7.0,GB,1605858333
275,Comodoro Rivadavia,-45.87,-67.5,71.6,35,0,20.8,AR,1605858301
276,Kitakata,37.65,139.87,64.99,100,75,5.82,JP,1605858334
277,Vila,42.03,-8.16,45.0,95,8,5.99,PT,1605858334
278,Olenegorsk,68.15,33.3,29.75,98,100,7.9,RU,1605858334
279,Shache,38.42,77.24,41.97,65,99,6.93,CN,1605858335
280,Noumea,-22.28,166.46,78.8,61,20,8.05,NC,1605858335
281,Gambēla,8.25,34.58,98.04,33,20,0.92,ET,1605858073
282,Plettenberg Bay,-34.05,23.37,68.67,51,0,10.27,ZA,1605858335
